#
# Akira, är det anime och japan?
# Vad menar jag med (*)? Jag hade skrivit * framfär positionen tidigare.
#
#kategori:§animerat
#kategori:§astrid
#kategori:§beck
#kategori:§bond
#kategori:§dokumentar
#kategori:§eget
#kategori:§fantasy
#kategori:§fel
#kategori:§halloween
#kategori:§japan
#kategori:§jul
#kategori:§krig
#kategori:§melbrooks
#kategori:§nintendods
#kategori:§ps3
#kategori:§sf
#kategori:§stallone
#kategori:§stephenking
#kategori:§sverige
#kategori:§wallander
#kategori:§western
#kategori:§xbox
#kategori:§zoombie
#
#format:*xvid
#format:*vcd
#format:*scr
#format:*dvd
#
#location: 
#
#language:#spoken/subtitle (en, se, ???)
#
#destinaton:&ms (mediaserver)
#
Göta Kanal 3	    		§wanted
Nikita				§wanted
Starship Troopers II		§wanted
C21	Kulla-Gulla	*dvd, §sverige
C22	Snapphanar 1/3	*dvd, §sverige
C23	Snapphanar 2/3	*dvd, §sverige
C24	Snapphanar 3/3	*dvd, §sverige
C25	Elina - som om jag inte fanns	*dvd
C26	Gladiator 1/2  *dvd
C27	Gladiator 2/2  *dvd
C28	Albert och Herbert (julkalender 1-24)	*xvid, §jul, §sverige
C29	Miami Vice S01D01
C30	Miami Vice S01D02
C31	Miami Vice S01D03
C32	Miami Vice S01D04
C33	Miami Vice S01D05
C34	Miami Vice S01D06
C35	Miami Vice S01D07
C36	Miami Vice S01D08
C37	Miami Vice (2006)
C38	Borat	TC
C39	Flykten från New York
C40	There's something about Mary
C41	Trolltider 1/2	§sverige
C42	Trolltider 2/2	§sverige
C43	Teskedsgumman 1/2	§sverige
C44	Teskedsgummen 2/2	§sverige
C45	Match Point
C46	Talladega Nights
C47	After Shave Galenskaparna "Jul jul"		§jul?, §sverige
C48	Elf	???§japan???, ???§jul???
C49	Disney - Countdown to Christmas (2001)	(*)
C50	Göta Kanal	§sverige
C51	Love Actually
C52	Nils Holgerssons underbara resa genom Sverige	*dvd, §sverige
C53	Evita 1/2	*dvd
C54	Evita 2/2	*dvd
C55	Purpurfärgen 1/2	*dvd
C56	Purpurfärgen 2/2	*dvd
C57	Disneydags
C58	Ordförande Persson 1-4	*dvd, §sverige
C59	Den Osynlige	*dvd
C60	Göta Kanal 2	§sverige
C61	Titanic 1/2	se
C62	Titanic 2/2	se
C63	Pojken med guldbyxorna 1/2	*xvid, §sverige
C64	Pojken med guldbyxorna 2/2	*xvid, §sverige
C65	Titanic 1/4	se
C66	Titanic 2/4	se
C67	Titanic 3/4	se
C68	Titanic 4/4	se
C69	Bond 01 - Dr No	#en/se, §bond, &ms, (*)
C70	Bond 02 - From Russia with Love	#en/se, §bond, &ms, (*)
C71	Bond 04 - Åskbollen	#en/se, §bond, (*), &ms
C72	Bond 08 - Live and let die	#en/se, §bond, (*), &ms
C73	Bond 09 - Gyllene pistolen	#en/se, §bond, (*), &ms
C74	Bond 10 - Älskade spion	#en/se, §bond, (*), &ms
C75	Bond 11 - Moonraker	#en/se, §bond, (*), &ms
C76	Bond 12 - Ur dödlig synvinkel	#en/se, §bond, (*), &ms
C77	Bond 14 - A view to a kill	#en/se, §bond, (*), &ms
C78	Bond 15 - The Living daylights	#en/se, §bond, (*), &ms
C79	Bond 16 - License to kill	#en/se, §bond, (*), &ms
C80	Snapphanar	§sverige
C81	Bond 21 - Casino Royal	se, §bond
C82	Melodifestivalen 2006	*?
C83	Leende guldbruna ögon 1-3 + dokumentär	§dokumentar, §sverige
C84	Surviving Christmas	se, §jul
C85	Saw III		#en/se, &ms
C86	Ant Bully, The	se
C87	Saw III		#en/se, &ms
C88	Texas Chainsaw - The Beginning	*dvd, #en/se, &ms, (*)
C89	Ronny och Ragge 1/2	§sverige
C90	Ronny och Ragge 2/2	§sverige
C91	Crouching Tiger Hidden Dragon	se, §japan
C92	Hero	se, §japan
C93	Moreno och tystnaden
C94	Ghostship	*dvd
C95	Fröken Sverige	*dvd, §sverige
C96	Dunderklumpen	se, §sverige
C97	Jag är Dina	*dvd
C98	Motorsågsmassakern	*dvd, #en/se, &ms, (*)
C99	Rätt upp i 90-talet	*dvd
C100	Huriko	*xvid, §japan
C100	Linas Kvällsbok		*xvid, §sverige
C100	Tetsuo - The Iron Man	*xvid, §japan, &ms
C100	Tetsuo II -  Body Hammer	*xvid, §japan, &ms
C100	Container	*xvid, §sverige
C101	Moreno och tystnaden	se
C102	Thelma and Louise	se
C103	Jurassic park 2 - The Lost World 1/2	*dvd
